Date,Tmax,Tmin,Rain,RH
08-19,12.5,4.3,0,80.1
08-20,12.4,4.6,0,83
08-21,12.4,6.2,0,86.5
08-22,15.2,3.3,0.2,90.5
08-23,16.8,8.1,0,85.1
08-24,18.2,6.1,0.2,85.8
08-25,19.1,10.7,0.2,85.9
08-26,20.4,12.9,1.4,89
08-27,22.9,10.2,0.4,89.3
08-28,22.7,11.7,0.2,90.8
08-29,31.7,16.4,0,73
08-30,22.6,14.4,37.8,91.7
08-31,18.4,11,1.6,87.5
09-01,18.3,7.4,0.2,71.3
09-02,18.8,5.1,0,78
09-03,14.4,5.9,0,72.8
09-04,15.1,3.5,0,65.8
09-05,14.2,3.6,0,80.3
09-06,17.6,8.6,7.4,87.3
09-07,18.1,14.7,19,93.6
09-08,20.8,16.7,51.8,94.1
09-09,31.5,16.3,3,82.3
09-10,19.2,12.6,9.4,91.6
09-11,15.7,12.9,99.6,95.2
09-12,17.9,12.9,5.2,92.3
09-13,18.4,9.6,0,85.8
09-14,18,9.2,0,89.7
09-15,26.7,14.8,0,89.8
09-16,19.3,12.2,11.4,93.5
09-17,18.2,9.4,0.2,73
09-18,20.9,8.2,0,72.9
09-19,22.4,10.3,0,86
09-20,16.5,7.8,0,65
09-21,20.4,4.1,0,62.6
09-22,18.4,7.1,0,68.7
09-23,18.7,5,0,79.3
09-24,22.4,8.8,0,80.5
09-25,22.9,11.8,0.2,87.1
09-26,25.8,12.8,0,78.8
09-27,19.5,10.7,0,80
09-28,19,11.8,0,80.4
09-29,23.8,14.2,0,83.4
09-30,30.3,15.6,0.2,80.9
10-01,27.4,18.2,0.8,83.5
10-02,21.6,16,41.6,90.8
10-03,18.5,14.4,10.8,87.3
10-04,19.7,15.6,45,94.3
10-05,18.4,13.7,0.2,91.1
10-06,19.6,11.9,0,86.6
10-07,23.5,11.8,0,84.4
10-08,25.4,13.6,0.2,79.8
10-09,25.4,13.2,0,77
10-10,32,14.4,0,73.2
10-11,33.9,17.5,0,76
10-12,29.6,19.4,0.6,82.8
10-13,23.7,16.6,20.4,90.7
10-14,16.7,11.6,15.6,88.2
10-15,16.8,12.6,0.2,85.5
10-16,17.1,15.1,21.4,94.2
10-17,19,16.9,51.2,95
10-18,25.1,15.3,0.4,87
10-19,20.3,11.9,0,80.1
10-20,18.1,11.4,0,83.9
10-21,16.6,13.6,14,88.5
10-22,22.4,11.6,0.2,82.2
10-23,25.9,12.7,0,69.3
10-24,26.6,12,0,69.3
10-25,27.1,12.5,0.2,68
10-26,28.3,15.3,0,59.7
10-27,24.4,19.1,15.6,87.9
10-28,29.9,17.3,2.6,84.9
10-29,22.4,18.8,51.2,92.2
10-30,20.8,18.2,82.6,93.4
10-31,21.9,16.7,1.2,87.3
11-01,22.6,17.3,0,83
11-02,25.9,19.6,5.6,90.2
11-03,23.7,16.2,0,81.3
11-04,22.4,15.1,14.4,91.5
11-05,23.3,14.9,0.6,86
11-06,22.6,11.8,0.2,75
11-07,27.4,15.2,0,81.1
11-08,26.1,15.4,0.2,86.9
11-09,24.9,18.4,2.6,89.3
11-10,24.5,18.8,3.6,88.2
11-11,22.4,17.4,3.2,85.4
11-12,24.3,17.5,1.8,88.1
11-13,26.2,19.8,12,87.8
11-14,27.8,18.3,3.8,86.8
11-15,24.1,15.3,0,81.1
11-16,27.3,12.4,0.2,74.4
11-17,29.6,14.6,0,62
11-18,30.7,17.1,0,67.6
11-19,27.7,18.3,0,82.4
11-20,30.1,19.2,0,81
11-21,28.6,19.7,0,82.1
11-22,24.2,20.4,18.8,90.6
11-23,22.7,16.5,0,74.4
11-24,22.8,15,0,68.4
11-25,25.1,17,0,74.7
11-26,23.6,19.1,2.6,85.5
11-27,24.6,15.9,2.4,77.9
11-28,27.8,12.6,0,62.3
11-29,31.6,14.6,0,70.3
11-30,32.4,17.8,0,69.2
