Date,Tmax,Tmin,Rain,RH
03-01,29.4,20.2,0,87.1
03-02,30.1,19.1,0.2,83.8
03-03,28.6,18.5,0.2,86.1
03-04,30.5,20.7,14.2,89.5
03-05,30.7,19.4,0.4,85.5
03-06,25.5,16.3,0,78.3
03-07,26,13.8,0,78.9
03-08,27.8,15.3,0,78.1
03-09,27.7,14.8,0,79.9
03-10,29.7,17.6,0.2,83.5
03-11,32,17.7,1.6,82.1
03-12,24.4,13.3,0,69.5
03-13,28.2,13.3,0,71.2
03-14,29.7,14.6,0,73.3
03-15,27.8,16.3,32.2,75.3
03-16,26.5,14.2,0,80.5
03-17,28.1,17.7,9.8,89.6
03-18,37,19.6,8.6,83.5
03-19,25.4,15.8,0,72.8
03-20,27.8,13.2,0,75.4
03-21,24.1,13.8,0,78.9
03-22,24.8,12.2,0,74.4
03-23,28.2,14.4,0,79.4
03-24,23.6,18.6,56.4,94.3
03-25,22.6,15,2.6,90.6
03-26,22.3,10.9,0,77.9
03-27,22.9,17.9,0.6,85.8
03-28,27,18.2,0,88.9
03-29,28.6,18.8,0,87.3
03-30,28,19.1,0.2,86.5
03-31,23.3,19.2,9.6,96.2
04-01,24,19.1,45,96.9
04-02,25.8,18.3,5,92
04-03,27.3,19.2,1.6,89.3
04-04,26.4,17.3,0.2,88.5
04-05,26.6,15.8,0.2,85.1
04-06,26.8,15.4,0.2,87.5
04-07,30.3,17.8,0.4,78.1
04-08,28.9,18.4,0,86.3
04-09,28.4,18.9,0,88.7
04-10,31,20.6,0,83.3
04-11,33.5,19.4,0.2,78.8
04-12,34,17.8,18.2,77.4
04-13,22.8,16.6,0,76.7
04-14,23.7,15.8,0,74.7
04-15,24.4,15.3,1,86.5
04-16,25.4,15.8,0,83.2
04-17,27.2,17.2,0,79.5
04-18,30,17,0,76.2
04-19,31.6,17.9,0,73.5
04-20,32.6,20.2,20.6,81.9
04-21,26.8,19.1,19,87.9
04-22,26,18.5,2.6,92.6
04-23,27.1,21.3,3.4,89.2
04-24,25.6,21.1,0.2,91.7
04-25,28.6,21.9,0.2,89.7
04-26,27.2,21.4,0.2,89.7
04-27,31.2,20.8,0,86.5
04-28,30.7,21.5,0,86.5
04-29,28.3,20.2,12.8,90.9
04-30,23.9,19.2,5.2,89
05-01,24,19.1,45,96.9
05-02,25.8,18.3,5,92
05-03,27.3,19.2,1.6,89.3
05-04,26.4,17.3,0.2,88.5
05-05,26.6,15.8,0.2,85.1
05-06,26.8,15.4,0.2,87.5
05-07,30.3,17.8,0.4,78.1
05-08,28.9,18.4,0,86.3
05-09,28.4,18.9,0,88.7
05-10,31,20.6,0,83.3
05-11,33.5,19.4,0.2,78.8
05-12,34,17.8,18.2,77.4
05-13,22.8,16.6,0,76.7
05-14,23.7,15.8,0,74.7
05-15,24.4,15.3,1,86.5
05-16,25.4,15.8,0,83.2
05-17,27.2,17.2,0,79.5
05-18,30,17,0,76.2
05-19,31.6,17.9,0,73.5
05-20,32.6,20.2,20.6,81.9
05-21,26.8,19.1,19,87.9
05-22,26,18.5,2.6,92.6
05-23,27.1,21.3,3.4,89.2
05-24,25.6,21.1,0.2,91.7
05-25,28.6,21.9,0.2,89.7
05-26,27.2,21.4,0.2,89.7
05-27,31.2,20.8,0,86.5
05-28,30.7,21.5,0,86.5
05-29,28.3,20.2,12.8,90.9
05-30,23.9,19.2,5.2,89
05-31,19.7,16.7,15.6,93.4
06-01,17.9,12.7,9.6,96.2
06-02,15.4,10.1,0,81
06-03,16.7,8.4,0,85.8
06-04,19.1,9.9,0.2,85.6
06-05,15,11.3,7.2,95.1
06-06,13.6,7.3,0,83
06-07,16.2,7.3,0,74
06-08,18.3,5.2,0,78.2
06-09,18.7,5.3,0,83.2
