Date,Tmax,Tmin,Rain,RH
06-10,20.9,12.8,7,86.3
06-11,21.4,16,13,94
06-12,17.5,12.9,0.2,90.1
06-13,12.9,7.3,0,75.3
06-14,11.4,4.6,0,82
06-15,11.9,4,0,80.7
06-16,13.9,4.2,0,87.5
06-17,15.7,7.4,0.2,90.5
06-18,15.2,2.1,0.4,90.8
06-19,18.4,7.2,0,93.1
06-20,25.6,10.9,0.2,76.9
06-21,23.8,10.4,3,78.1
06-22,16.4,5.3,0,74.7
06-23,15.8,6,0.8,88
06-24,12.7,7.1,0,82.3
06-25,12.4,7,0,90.5
06-26,17.8,5.1,0.4,78.9
06-27,18.8,4.2,0,76.8
06-28,12.8,6.7,0.2,96.8
06-29,19.8,12.6,0,95.6
06-30,19.7,12.7,0.2,94.2
07-01,23.4,12.6,23.8,90.5
07-02,18.9,11.3,19.6,96.3
07-03,11.3,5.9,0,83.6
07-04,10.7,3.8,1.4,89.2
07-05,12.2,6.3,1.2,91.3
07-06,15.4,10.6,12.6,95
07-07,16.8,13.3,20,96.3
07-08,15.4,11.4,2.2,89.9
07-09,11.8,9.7,6.6,94.6
07-10,15.6,8.3,0.6,92.2
07-11,14.4,7.7,0,93.6
07-12,15.7,5.6,0.2,93.1
07-13,20.6,6.7,0,79.2
07-14,25,9.7,0,80.1
07-15,21.9,12.9,13.6,86
07-16,14.9,11.6,18.2,90.7
07-17,16.2,13.7,14.6,95.9
07-18,23.1,15.9,14.6,93.7
07-19,28.9,14.3,0,80
07-20,23,8.8,6.2,84.9
07-21,15.3,7.3,0,65.7
07-22,14.1,3.3,0.2,87.3
07-23,12.2,8.6,11.4,91.3
07-24,14.9,6.1,0,85.6
07-25,14.7,12,21,95.1
07-26,17.4,11.9,27.2,95.1
07-27,16.1,9.4,0,88.3
07-28,13.9,8.6,9.6,96.5
07-29,16.6,9.2,0,83
07-30,16.4,9.2,0.4,79.8
07-31,14.2,5.5,0,80.9
08-01,13.1,3.5,0,84.2
08-02,16.4,6.9,8.8,92.1
08-03,17.4,11.9,0,93.6
08-04,17.9,11.6,0.6,92.7
08-05,17.2,9.3,0.8,82
08-06,19.9,7.8,0.2,81.4
08-07,20.7,6.6,0,83.2
08-08,16.7,10.2,15.8,92.7
08-09,14.8,8.4,5.6,86.5
08-10,12.7,7.6,0,86.1
08-11,18.2,10.8,0.2,92.3
08-12,16.8,13.3,0,92.3
08-13,21.1,12.5,0,88.5
08-14,22.1,8.6,0.4,88.9
08-15,15.8,8.2,0.2,86.5
08-16,18.7,7.7,0.2,87.5
08-17,22.1,9.3,0.4,87.4
08-18,24,8.8,0.2,86.5
08-19,14.3,7.7,16.6,95.7
08-20,13.1,6.7,3.8,77.8
08-21,14.7,6.7,0,83.4
08-22,10.9,8.1,21.4,95.4
08-23,17,9.9,0,92.7
08-24,14.7,11.4,32.6,94.8
08-25,13.4,6.8,0.4,77.1
08-26,16.4,4.2,0,64.9
08-27,19.6,4.3,0,68.3
08-28,22.8,6.3,0,79.6
08-29,22.7,10.7,6.2,83.8
08-30,19.8,16.5,14.4,93.9
08-31,16.7,13.1,74.4,96.9
09-01,14.4,12.4,87.6,97
09-02,15.8,14.3,38.6,97.1
09-03,18.4,12.6,11.8,95.1
09-04,18.7,11.3,0,90
09-05,20.3,9.4,0.2,82.5
09-06,24.2,9.1,0,82.1
09-07,25.8,11.8,0,74.2
09-08,22.2,11.3,0,88.7
09-09,19.9,13.8,0,89.8
09-10,17.4,14.7,0,85.6
09-11,18.9,11.3,0,82.5
09-12,19.3,9.1,0,84.8
09-13,23.1,16,0,87.8
09-14,18.6,15.8,30.4,95.6
09-15,19.6,16.5,5,93
09-16,20.2,16.7,1.4,92
09-17,19.3,17.3,0.6,93
09-18,22.4,16.3,2,92.3
09-19,26.3,15.4,0,83.8
09-20,20.9,12.6,0,84.5
09-21,27.6,13.1,0,85.5
09-22,31.7,16.2,0.2,80.5
09-23,25.9,17.8,67.8,92.8
09-24,20.4,16.2,16.2,92.3
09-25,19.9,16.1,1.6,86.3
09-26,25.6,17,1,92
09-27,18.6,16.9,19,96
09-28,20.3,16.9,2.8,95.8
09-29,30,17.7,34.2,88.2
09-30,24.8,17.8,3.6,86.9
10-01,24,12.9,12.2,92.9
10-02,16.9,12.1,0.2,79.8
10-03,18.6,9.4,0,76.8
10-04,22.9,9.8,0,70.8
10-05,18,6.8,0,73.9
10-06,18.8,6.2,0,81.7
10-07,25.4,11.9,0,83.8
10-08,26.2,17.5,0,88.5
10-09,22.6,17.4,22.8,93.3
10-10,21,12.3,0,79.9
10-11,18.4,9.6,0,77.1
10-12,18.1,13.4,66,93.7
10-13,17.4,12.8,2,92.7
10-14,20.6,10.8,0.2,81.8
10-15,23.9,11.4,0.2,80.6
10-16,26.9,15.2,0,86.7
10-17,29.1,18.1,0,86.2
10-18,25.7,18.6,0,91.3
10-19,22.1,14.8,0,82.6
10-20,20.1,12.7,0,72
10-21,21.9,12.2,0,76.4
10-22,27.8,14.8,0,77.8
10-23,22,14.7,1.2,78.8
10-24,22.1,11.4,0,77.6
10-25,23.6,16.8,3.4,88
10-26,22.9,17.3,1.4,89.6
10-27,22.2,14.3,13.6,86
10-28,22.9,12.8,0.2,81.6
10-29,23.2,13.4,0,81.7
10-30,27.4,17.8,7.4,82.3
10-31,23.7,16.9,2.2,90.3
11-01,21.1,11.8,0.2,81.5
11-02,22.1,9.4,0.2,79.4
11-03,24.7,15.3,10.6,84
11-04,23.1,12.9,0,81.6
11-05,25.8,14.8,0,83.3
11-06,25.4,16.9,0,85.7
11-07,22,17.7,1,86.8
11-08,26.3,17.2,0.2,77.4
11-09,30.9,16.4,0,75.9
11-10,34.5,17.3,0,74.7
11-11,30.1,20.4,0,83.3
11-12,28.9,21.5,0,88
11-13,26.6,22.2,1.8,87.1
11-14,27.9,20.1,0.4,72.3
11-15,31,16.6,0,55.3
11-16,24.7,16.7,0,77.4
11-17,26,19.6,26.4,84.5
11-18,23.7,14.9,7,75.7
11-19,24,10.6,0,62.7
11-20,26.4,12.7,0,73.6
11-21,32.8,15.8,0,74.7
11-22,34.3,17.9,0,76.6
11-23,28.8,19.3,0,85.8
11-24,26.8,19.3,2,88.5
11-25,25.4,13.6,0,69.4
11-26,24.6,11.4,0,70
11-27,25.2,17.6,2.2,76.8
11-28,25.5,18.6,1.2,88.6
11-29,28.2,19,0,86.1
11-30,28.4,18.6,0,84.9
